Helen Frankenthaler,Santa Fe II ,77675,https://dyn1.heritagestatic.com/lf?set=path%5B5%2F9%2F4%2F3%2F5943731%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,SantaFeII
Bernard Buffet,Bouquet de zinnias dans un broc,75000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F4%2F2%2F2%2F0%2F14220377%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Bouquetdezinniasdansunbroc
Olivier Mosset,Second Harley,75000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F4%2F7%2F0%2F6%2F14706587%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,SecondHarley
Victor Vasarely,GOEMB-2,71875,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F2%2F5%2F1%2F3%2F22513286%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,GOEMB-2
Stik,Migrant 4,68750,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F1%2F1%2F2%2F2%2F21122809%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Migrant4
Paul Jenkins,Phenomena Spiral Cauldron,68750,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F3%2F2%2F6%2F2%2F13262543%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,PhenomenaSpiralCauldron
Burgoyne Diller,Early Geometric,65725,https://dyn1.heritagestatic.com/lf?set=path%5B5%2F8%2F5%2F1%2F5851122%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,EarlyGeometric
Francesco Codino,"A pair of still lifes with flowers, birds",65725,https://dyn1.heritagestatic.com/lf?set=path%5B7%2F7%2F8%2F778943%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,"Apairofstilllifeswithflowers,birds"
Raymond Jonson,Oil No. 2,40000,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F0%2F7%2F5%2F2%2F20752939%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,OilNo2
Alex Katz,Red Robins,40000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F7%2F8%2F8%2F6%2F17886251%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,RedRobins
Alexander Calder,Kakemono,38837,https://dyn1.heritagestatic.com/lf?set=path%5B3%2F4%2F8%2F348015%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,Kakemono
Carl Frederick Gaertner ,Industrial Cleveland,37500,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F9%2F1%2F1%2F2%2F19112104%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,IndustrialCleveland
